castFemalePercentage,crewFemalePercentage,budget_x,revenue_x,movieDatasetRevenueRatio,budget_y,revenue_y,bechdelRevenueRatio,vote_average,vote_count,runtime,binary,nowomen,notalk,men,dubious,ok,clean_test
29.4,12.5,7000000,470654000.0,67.2362857143,12000000,730700000.0,60.8916666667,7.5,2628.0,124.0,0,0,1,0,0,0,notalk
40.9,35.7,70000000,101371017.0,1.4481573857,80000000,139142034.0,1.739275425,6.1,1544.0,106.0,1,0,0,0,0,1,ok
35.3,23.1,14000000,173046663.0,12.3604759286,15000000,276093326.0,18.4062217333,7.0,1520.0,111.0,1,0,0,0,0,1,ok
58.3,20.8,45000000,302710615.0,6.7269025556,45000000,484121230.0,10.7582495556,6.4,1456.0,86.0,0,0,1,0,0,0,notalk
50.0,33.3,20000000,60000000.0,3.0,20000000,70900226.0,3.5450113,7.1,115.0,127.0,1,0,0,0,0,1,ok
75.0,12.5,32000000,3566637.0,0.1114574062,32000000,7177204.0,0.224287625,7.1,25.0,75.0,1,0,0,0,0,1,ok
40.9,50.0,16500000,67683989.0,4.1020599394,18000000,121567978.0,6.7537765556,6.5,1033.0,94.0,0,0,0,1,0,0,men
20.0,16.1,90000000,263920180.0,2.9324464444,95000000,327470862.0,3.4470617053,7.3,3962.0,126.0,0,0,1,0,0,0,notalk
20.0,33.3,73000000,229074524.0,3.1380071781,75000000,1015773358.0,13.5436447733,6.2,2528.0,129.0,0,0,0,0,1,0,dubious
10.3,31.8,75000000,224012234.0,2.9868297867,80000000,325235146.0,4.065439325,6.5,1289.0,115.0,0,0,1,0,0,0,notalk
23.1,28.0,125000000,238207122.0,1.905656976,125000000,345643009.0,2.765144072,4.2,1447.0,125.0,0,0,0,1,0,0,men
30.0,14.3,85000000,252712101.0,2.9730835412,70000000,349812101.0,4.9973157286,7.3,1741.0,93.0,1,0,0,0,0,1,ok
50.0,28.6,38000000,299288605.0,7.8760159211,46000000,425736572.0,9.2551428696,6.4,606.0,105.0,0,0,0,1,0,0,men
11.8,16.7,90000000,589390539.0,6.5487837667,90000000,838481078.0,9.3164564222,6.9,4521.0,98.0,0,0,1,0,0,0,notalk
66.7,0.0,28000000,8345056.0,0.2980377143,28000000,16330426.0,0.5832295,5.5,46.0,86.0,1,0,0,0,0,1,ok
43.6,25.0,90000000,171120329.0,1.9013369889,90000000,266820329.0,2.9646703222,7.2,1338.0,150.0,1,0,0,0,0,1,ok
15.4,41.7,50000000,48169156.0,0.96338312,50000000,96338312.0,1.92676624,6.0,404.0,125.0,1,0,0,0,0,1,ok
26.7,5.6,20000000,79114085.0,3.95570425,20000000,117378170.0,5.8689085,6.6,663.0,129.0,0,0,1,0,0,0,notalk
30.8,12.0,60000000,26673242.0,0.4445540333,60000000,53346484.0,0.8891080667,6.4,752.0,96.0,1,0,0,0,0,1,ok
22.2,16.7,40000000,87840042.0,2.19600105,40000000,142929851.0,3.573246275,5.0,344.0,96.0,1,0,0,0,0,1,ok
25.0,0.0,3000000,23144499.0,7.714833,3000000,52435585.0,17.4785283333,5.3,108.0,98.0,0,0,1,0,0,0,notalk
30.0,15.4,75000000,136982834.0,1.8264377867,80000000,218902708.0,2.73628385,6.5,440.0,135.0,0,0,0,1,0,0,men
16.1,24.1,85000000,315156409.0,3.7077224588,85000000,488224762.0,5.7438207294,6.2,859.0,124.0,0,0,1,0,0,0,notalk
4.3,8.3,30000000,199200000.0,6.64,30000000,321209866.0,10.7069955333,7.2,971.0,134.0,0,0,1,0,0,0,notalk
16.7,22.2,35000000,126216940.0,3.6061982857,35000000,175209954.0,5.0059986857,7.7,1340.0,138.0,0,0,1,0,0,0,notalk
35.3,14.3,27000000,60527873.0,2.2417730741,27000000,121055746.0,4.4835461481,6.2,353.0,115.0,0,0,0,1,0,0,men
29.0,0.0,50000000,109423648.0,2.18847296,50000000,96531162.0,1.93062324,7.5,1556.0,129.0,0,0,1,0,0,0,notalk
28.6,0.0,250000,12021272.0,48.085088,250000,27161609.0,108.646436,6.7,441.0,113.0,1,0,0,0,0,1,ok
40.0,26.1,17000000,125586134.0,7.3874196471,17000000,197500182.0,11.6176577647,5.6,698.0,100.0,1,0,0,0,0,1,ok
37.1,20.0,57000000,152944660.0,2.6832396491,57000000,214014848.0,3.7546464561,7.2,1414.0,144.0,1,0,0,0,0,1,ok
25.0,33.3,36000000,12532777.0,0.3481326944,36000000,25065554.0,0.6962653889,7.5,1846.0,106.0,0,0,1,0,0,0,notalk
43.4,13.3,15000000,43101594.0,2.8734396,15000000,69522496.0,4.6348330667,7.5,812.0,155.0,0,0,0,0,1,0,dubious
42.1,17.9,105000000,121214377.0,1.1544226381,100000000,175868952.0,1.75868952,6.7,1584.0,129.0,1,0,0,0,0,1,ok
42.9,46.2,6000000,58000000.0,9.6666666667,6000000,70720349.0,11.7867248333,6.6,363.0,99.0,1,0,0,0,0,1,ok
35.7,0.0,30000000,51376861.0,1.7125620333,30000000,87254812.0,2.9084937333,3.8,225.0,95.0,1,0,0,0,0,1,ok
31.8,25.0,60000000,264118201.0,4.4019700167,60000000,374018201.0,6.2336366833,7.8,4702.0,103.0,0,0,1,0,0,0,notalk
50.0,23.5,53000000,139804348.0,2.6378178868,53000000,198204819.0,3.739713566,7.4,1481.0,94.0,1,0,0,0,0,1,ok
22.7,12.9,70000000,162000000.0,2.3142857143,60000000,208495018.0,3.4749169667,5.9,1388.0,109.0,1,0,0,0,0,1,ok
35.7,0.0,80000000,177977226.0,2.224715325,80000000,270987602.0,3.387345025,5.3,707.0,93.0,0,0,0,1,0,0,men
14.8,16.7,10000000,225933435.0,22.5933435,10000000,364366870.0,36.436687,7.9,2880.0,126.0,0,1,0,0,0,0,nowomen
