castFemalePercentage,crewFemalePercentage,budget,revenue,revenueRatio,directorGender,vote_average,vote_count,runtime,releaseYear,releaseTimeOfYear,original_language,popularity,original_title,title
37.5,38.5,4000000,851545.0,0.21288625,0,6.0,11.0,113.0,1995.0,0.5507,en,0.922958,An Awfully Big Adventure,An Awfully Big Adventure
50.0,22.2,0,0.0,-1.0,0,6.5,21.0,105.0,1994.0,0.5918,en,1.759012,Amateur,Amateur
24.0,25.8,52000000,355237933.0,6.8314987115,0,7.3,1637.0,140.0,1995.0,0.4932,en,18.761467,Apollo 13,Apollo 13
33.3,0.0,28000000,31596911.0,1.1284611071,0,6.5,151.0,139.0,1995.0,0.2795,en,10.193549,Rob Roy,Rob Roy
50.0,0.0,0,0.0,-1.0,0,6.4,46.0,82.0,1995.0,0.0247,en,3.137285,The Addiction,The Addiction
26.7,27.6,100000000,336529144.0,3.36529144,0,5.2,1529.0,121.0,1995.0,0.4548,en,13.321354,Batman Forever,Batman Forever
50.0,15.4,0,0.0,-1.0,0,6.4,21.0,100.0,1995.0,0.3918,en,2.04189,Beyond Rangoon,Beyond Rangoon
31.6,14.3,2000000,1275000.0,0.6375,4,6.8,28.0,83.0,1995.0,0.7041,en,11.528147,Blue in the Face,Blue in the Face
6.7,33.3,11000000,178104.0,0.0161912727,0,5.9,57.0,91.0,1995.0,0.4329,en,5.391556,Canadian Bacon,Canadian Bacon
20.8,41.2,50000000,287928194.0,5.75856388,2,6.0,1045.0,100.0,1995.0,0.3973,en,12.812539,Casper,Casper
6.9,0.0,25000000,13071518.0,0.52286072,0,6.8,69.0,128.0,1995.0,0.7041,en,4.558992,Clockers,Clockers
22.2,22.2,50000000,152022101.0,3.04044202,0,5.0,214.0,109.0,1995.0,0.4356,en,7.260574,Congo,Congo
0.0,4.5,53000000,157387195.0,2.969569717,0,7.0,508.0,116.0,1995.0,0.3589,en,8.657365,Crimson Tide,Crimson Tide
33.3,40.0,0,3174695.0,-1.0,2,7.6,71.0,119.0,1994.0,0.6904,en,3.620388,Crumb,Crumb
16.7,16.7,7000000,25405445.0,3.6293492857,0,6.8,898.0,104.0,1995.0,0.6466,en,6.950458,Desperado,Desperado
18.2,33.3,27000000,16140822.0,0.5978082222,2,6.3,88.0,102.0,1995.0,0.7041,en,4.646132,Devil in a Blue Dress,Devil in a Blue Dress
25.0,4.8,90000000,366101666.0,4.0677962889,0,6.9,2094.0,128.0,1995.0,0.3781,en,15.138855,Die Hard: With a Vengeance,Die Hard: With a Vengeance
30.0,27.3,0,0.0,-1.0,0,5.6,57.0,80.0,1995.0,0.8192,en,7.120806,The Doom Generation,The Doom Generation
18.2,16.7,55000000,127600435.0,2.3200079091,0,5.9,319.0,134.0,1995.0,0.5123,en,15.178338,First Knight,First Knight
30.0,42.9,0,0.0,-1.0,2,5.5,130.0,95.0,1995.0,0.5452,en,7.575098,Free Willy 2 - The Adventure Home,Free Willy 2 - The Adventure Home
15.8,25.0,20000000,7563728.0,0.3781864,0,6.2,406.0,107.0,1995.0,0.7014,en,14.810519,Hackers,Hackers
50.0,16.7,0,0.0,-1.0,0,6.5,19.0,92.0,1995.0,0.6274,en,3.196456,Jeffrey,Jeffrey
20.0,0.0,25000000,19075720.0,0.7630288,0,5.5,380.0,97.0,1995.0,0.3973,en,11.715868,Johnny Mnemonic,Johnny Mnemonic
17.6,7.1,90000000,113493481.0,1.2610386778,0,5.4,643.0,96.0,1995.0,0.4932,en,8.184815,Judge Dredd,Judge Dredd
31.2,50.0,0,17014653.0,-1.0,0,4.0,34.0,88.0,1995.0,0.2767,en,3.676921,Jury Duty,Jury Duty
33.3,0.0,1500000,7412216.0,4.9414773333,0,6.8,280.0,91.0,1995.0,0.5699,en,4.877872,Kids,Kids
33.3,0.0,500000,1148752.0,2.297504,0,7.2,64.0,89.0,1995.0,0.0521,en,10.058329,Living in Oblivion,Living in Oblivion
35.3,0.0,0,0.0,-1.0,0,5.9,87.0,119.0,1995.0,0.6466,en,4.102409,Lord of Illusions,Lord of Illusions
30.0,0.0,0,0.0,-1.0,0,7.0,7.0,100.0,1993.0,0.3808,en,0.354014,Love & Human Remains,Love & Human Remains
36.4,50.0,0,15453274.0,-1.0,1,5.5,27.0,95.0,1995.0,0.3973,en,2.624771,Mad Love,Mad Love
27.8,0.0,6000000,2122561.0,0.3537601667,0,6.8,400.0,94.0,1995.0,0.8,en,8.25547,Mallrats,Mallrats
30.0,9.1,15000000,66000000.0,4.4,0,5.2,153.0,92.0,1995.0,0.4932,en,7.024227,Mighty Morphin Power Rangers: The Movie,Mighty Morphin Power Rangers: The Movie
85.7,0.0,0,0.0,-1.0,0,5.6,10.0,100.0,1995.0,0.7425,en,1.01115,Moonlight and Valentino,Moonlight and Valentino
0.0,0.0,2,1.0,0.5,0,6.4,36.0,95.0,1995.0,0.7397,en,2.466066,Mute Witness,Mute Witness
33.3,27.3,0,0.0,-1.0,0,5.9,12.0,93.0,1994.0,0.6986,en,7.720056,Nadja,Nadja
25.0,0.0,22000000,110627965.0,5.0285438636,0,5.6,359.0,114.0,1995.0,0.5699,en,13.304342,The Net,The Net
60.0,20.8,0,69660733.0,-1.0,0,5.5,171.0,103.0,1995.0,0.526,en,8.482834,Nine Months,Nine Months
28.6,66.7,150000,472370.0,3.1491333333,1,5.8,14.0,94.0,1995.0,0.4356,en,1.165039,Party Girl,Party Girl
28.6,0.0,8,16.0,2.0,0,6.4,139.0,98.0,1995.0,0.6658,en,10.187623,The Prophecy,The Prophecy
33.3,25.0,0,0.0,-1.0,0,10.0,1.0,91.0,1995.0,0.8767,en,0.119713,Reckless,Reckless
54.5,28.6,0,0.0,-1.0,0,7.2,62.0,119.0,1995.0,0.474,en,8.180047,Safe,Safe
44.4,0.0,50000000,10382407.0,0.20764814,2,5.5,111.0,135.0,1995.0,0.7808,en,6.752119,The Scarlet Letter,The Scarlet Letter
50.0,12.5,45000000,20350754.0,0.4522389778,0,4.9,261.0,128.0,1995.0,0.7233,en,17.502375,Showgirls,Showgirls
23.1,25.0,7000000,8349430.0,1.1927757143,4,7.2,115.0,112.0,1995.0,0.4356,en,5.552946,Smoke,Smoke
63.6,60.0,0,50892160.0,-1.0,0,5.7,60.0,106.0,1995.0,0.589,en,3.743212,Something to Talk About,Something to Talk About
37.7,14.6,35000000,113374103.0,3.2392600857,0,5.5,457.0,108.0,1995.0,0.5123,en,13.492845,Species,Species
33.3,0.0,0,0.0,-1.0,0,6.6,6.0,109.0,1995.0,0.7041,en,0.913522,The Stars Fell on Henrietta,The Stars Fell on Henrietta
28.6,42.9,42000000,7959291.0,0.1895069286,1,6.8,334.0,145.0,1995.0,0.7808,en,11.223055,Strange Days,Strange Days
56.2,33.3,14000000,5780000.0,0.4128571429,0,4.6,9.0,99.0,1995.0,0.6849,en,1.820419,The Tie That Binds,The Tie That Binds
27.8,60.0,0,7025496.0,-1.0,1,6.1,18.0,115.0,1995.0,0.8192,en,11.002046,Three Wishes,Three Wishes
22.2,33.3,0,339889.0,-1.0,1,6.5,112.0,111.0,1995.0,0.8356,en,4.546552,Total Eclipse,Total Eclipse
40.0,38.5,0,47774193.0,-1.0,1,6.3,117.0,105.0,1995.0,0.6822,en,7.653446,"To Wong Foo, Thanks for Everything! Julie Newmar","To Wong Foo, Thanks for Everything! Julie Newmar"
27.3,7.7,60000000,104324083.0,1.7387347167,0,5.6,217.0,100.0,1995.0,0.5288,en,7.490247,Under Siege 2: Dark Territory,Under Siege 2: Dark Territory
25.0,50.0,0,0.0,-1.0,1,6.4,9.0,93.0,1995.0,0.7041,en,2.881689,Unstrung Heroes,Unstrung Heroes
66.7,0.0,0,0.0,-1.0,0,6.0,6.0,73.0,1995.0,0.6082,en,0.786023,Unzipped,Unzipped
50.0,17.9,20000000,50012507.0,2.50062535,0,6.5,168.0,103.0,1995.0,0.6082,en,9.715639,A Walk in the Clouds,A Walk in the Clouds
23.1,12.9,175000000,264218220.0,1.5098184,2,5.9,1017.0,135.0,1995.0,0.5699,en,16.885184,Waterworld,Waterworld
36.4,0.0,30000000,0.0,-1.0,0,5.9,27.0,98.0,1995.0,0.9151,en,8.922139,Wild Bill,Wild Bill
22.2,0.0,0,0.0,-1.0,0,6.0,11.0,97.0,1994.0,0.7781,en,3.727644,The Browning Version,The Browning Version
12.5,0.0,0,0.0,-1.0,0,4.9,29.0,90.0,1995.0,0.589,en,3.287036,Bushwhacked,Bushwhacked
30.0,33.3,0,763847.0,-1.0,2,7.7,45.0,113.0,1994.0,0.4356,en,3.525649,Before the Rain,Before the Rain
42.9,57.1,2500000,5535405.0,2.214162,0,7.7,984.0,105.0,1995.0,0.0712,en,11.304979,Before Sunrise,Before Sunrise
21.4,27.8,10000000,26488734.0,2.6488734,1,6.2,464.0,89.0,1995.0,0.1096,en,6.638116,Billy Madison,Billy Madison
28.6,0.0,0,0.0,-1.0,0,4.7,27.0,90.0,1995.0,0.7918,en,2.761837,The Babysitter,The Babysitter
50.0,0.0,21000000,23450000.0,1.1166666667,2,6.3,48.0,115.0,1995.0,0.0904,en,3.030309,Boys on the Side,Boys on the Side
28.6,0.0,0,0.0,-1.0,0,7.2,58.0,97.0,1995.0,0.3014,en,2.686342,The Cure,The Cure
40.0,0.0,0,0.0,-1.0,0,5.8,40.0,95.0,1995.0,0.589,en,2.26977,Castle Freak,Castle Freak
25.0,21.4,0,0.0,-1.0,0,6.5,30.0,103.0,1995.0,0.2027,en,2.605521,Circle of Friends,Circle of Friends
0.0,0.0,27000,3151130.0,116.7085185185,0,7.4,769.0,92.0,1994.0,0.6986,en,10.513367,Clerks,Clerks
58.3,11.1,25000000,22200000.0,0.888,0,6.3,184.0,97.0,1994.0,0.7479,en,7.438934,Don Juan DeMarco,Don Juan DeMarco
50.0,0.0,55000000,214015089.0,3.8911834364,0,5.9,217.0,123.0,1994.0,0.937,en,11.812244,Disclosure,Disclosure
12.5,7.7,45000000,0.0,-1.0,0,5.1,91.0,101.0,1994.0,0.9342,en,9.579155,Drop Zone,Drop Zone
50.0,46.2,0,0.0,-1.0,0,7.1,92.0,103.0,1994.0,0.337,en,5.484156,Death and the Maiden,Death and the Maiden
37.5,9.1,0,0.0,-1.0,2,7.1,183.0,132.0,1995.0,0.2247,en,5.8025,Dolores Claiborne,Dolores Claiborne
